dataset,stage,model,scope,metric,value,source_file,seed_applicable,seed,code_version
Default of Credit Card Clients,2,,source position decile 10,positive_count,663.0,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,2,,source position decile 10,positive_rate,0.221,outputs/audit/target_rate_by_position.csv,False,,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,4,,split,development_rows,24000.0,outputs/split/split_spec.json,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,4,,split,development_positives,5309.0,outputs/split/split_spec.json,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,4,,split,test_rows,6000.0,outputs/split/split_spec.json,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,4,,split,test_positives,1327.0,outputs/split/split_spec.json,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,4,,split,outer_folds,5.0,outputs/split/split_spec.json,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,4,,split,inner_folds,3.0,outputs/split/split_spec.json,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,development_rows,24000.0,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,development_positives,5309.0,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,development_positive_rate,0.22120833333333334,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,largest_absolute_spearman,0.9098134047752174,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,largest_spearman_signed,0.9098134047752174,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,bill_block_mean_absolute_pearson,0.8896551814934964,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,bill_block_max_absolute_pearson,0.9516867495837004,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,repayment_block_mean_absolute_pearson,0.6544507888376184,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,repayment_block_max_absolute_pearson,0.8173444774637182,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,zero_segment_rows,642.0,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,zero_segment_default_rate,0.37383177570093457,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,nonzero_segment_default_rate,0.21701344293175787,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,naive_any_delay_flagged,8104.0,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,naive_any_delay_recall,0.6553023168204934,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,naive_any_delay_precision,0.42929417571569595,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,source_last_position_decile_default_rate,0.221,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
Default of Credit Card Clients,5,,development EDA,credit_limit_quintile_1_default_rate,0.32167263260657336,outputs/eda/eda_findings.md,True,42.0,ccd-workflow-2026-08-24-v1:c3b2a2cd649f4d1c
