threshold,predicted_positive,precision,recall,tp,fp,tn,fn
0.14411862013600074,7339,0.3247036380978335,0.5632238241550461,2383,4956,26981,1848
0.14411612159780143,7340,0.3246594005449591,0.5632238241550461,2383,4957,26980,1848
0.14411563019561202,7341,0.3246151750442719,0.5632238241550461,2383,4958,26979,1848
0.14410036872973714,7342,0.3245709615908472,0.5632238241550461,2383,4959,26978,1848
0.14407828811567985,7343,0.32452676017976306,0.5632238241550461,2383,4960,26977,1848
0.14407544850058965,7344,0.3244825708061002,0.5632238241550461,2383,4961,26976,1848
0.14406891631585098,7345,0.32443839346494213,0.5632238241550461,2383,4962,26975,1848
0.1440639890573788,7346,0.3243942281513749,0.5632238241550461,2383,4963,26974,1848
0.14405709661384025,7347,0.3243500748604873,0.5632238241550461,2383,4964,26973,1848
0.14404886456167604,7348,0.3243059335873707,0.5632238241550461,2383,4965,26972,1848
0.14404453859052405,7349,0.3242618043271193,0.5632238241550461,2383,4966,26971,1848
0.14401664633259184,7350,0.32421768707482995,0.5632238241550461,2383,4967,26970,1848
0.14400927269648892,7351,0.32417358182560196,0.5632238241550461,2383,4968,26969,1848
0.14400439954744468,7352,0.32412948857453755,0.5632238241550461,2383,4969,26968,1848
0.14399021882252283,7353,0.32408540731674146,0.5632238241550461,2383,4970,26967,1848
0.14397661453461286,7354,0.32404133804732116,0.5632238241550461,2383,4971,26966,1848
0.1439580678543043,7355,0.3239972807613868,0.5632238241550461,2383,4972,26965,1848
0.14394517862833806,7356,0.32395323545405114,0.5632238241550461,2383,4973,26964,1848
0.14394104595628981,7357,0.3240451270898464,0.5634601748995509,2384,4973,26964,1847
0.14393649949329423,7358,0.32400108725197063,0.5634601748995509,2384,4974,26963,1847
0.1439153215069297,7359,0.32409294741133304,0.5636965256440558,2385,4974,26963,1846
0.14389924088326425,7360,0.32404891304347827,0.5636965256440558,2385,4975,26962,1846
0.14389814712677693,7361,0.3240048906398587,0.5636965256440558,2385,4976,26961,1846
0.14389396125013362,7362,0.32396088019559904,0.5636965256440558,2385,4977,26960,1846
0.143892967974991,7363,0.32391688170582644,0.5636965256440558,2385,4978,26959,1846
0.14389236808638906,7364,0.3238728951656708,0.5636965256440558,2385,4979,26958,1846
0.1438742551996983,7365,0.32396469789545146,0.5639328763885606,2386,4979,26958,1845
0.1438714880430042,7366,0.32392071680695084,0.5639328763885606,2386,4980,26957,1845
0.14386959772210778,7367,0.323876747658477,0.5639328763885606,2386,4981,26956,1845
0.14385752010255773,7368,0.3238327904451683,0.5639328763885606,2386,4982,26955,1845
0.14385517264220968,7369,0.32378884516216583,0.5639328763885606,2386,4983,26954,1845
0.14384686368252714,7370,0.3237449118046133,0.5639328763885606,2386,4984,26953,1845
0.14382822054616937,7371,0.32370099036765704,0.5639328763885606,2386,4985,26952,1845
0.143813183137814,7372,0.323657080846446,0.5639328763885606,2386,4986,26951,1845
0.14381063115124246,7373,0.3236131832361318,0.5639328763885606,2386,4987,26950,1845
0.1438030019036569,7374,0.32356929753186875,0.5639328763885606,2386,4988,26949,1845
0.14378954314684025,7375,0.32352542372881354,0.5639328763885606,2386,4989,26948,1845
0.14377064637065393,7376,0.32348156182212584,0.5639328763885606,2386,4990,26947,1845
0.14376809478379884,7377,0.3234377118069676,0.5639328763885606,2386,4991,26946,1845
0.1437669635050293,7378,0.32339387367850364,0.5639328763885606,2386,4992,26945,1845
